英文,中文(DM),中文(github),中文(内部),日文
"symbol:color-hex, symbol:color-hex, ...","文字:颜色代码, 文字:颜色代码, ...","文字:颜色代码, 文字:颜色代码, ...","文字:颜色代码, 文字:颜色代码, ...","symbol:color-hex, symbol:color-hex, ..."
Create txt2img canvas,创建空白画布作为参考（可手动上传图片作为参考图）,,创建文生图画布,
Source Checkpoint,源 Stable Diffusion 模型(ckpt),源模型(ckpt),源模型(ckpt),Source Checkpoint
Select Tags,选择 ,,,タグの選択
tile_colorfix,,,颜色修正（tile）,
Weight for latent match,用于匹配潜空间(latent)的权重,用于匹配潜变量(latent)的权重,用于匹配潜变量(latent)的权重,
The model to train.,要训练的模型,要训练的模型,要训练的模型,
Multi Merge,,多重合并,多重合并,
Some instructions,操作说明（非常重要）,一些操作说明,一些操作说明,
"Read parameters (prompt, etc...) from txt2img tab when making previews",进行预览时，从文生图选项卡中读取参数（提示词等）,进行预览时，从文生图选项卡中读取参数（提示词等）,进行预览时，从文生图选项卡中读取参数（提示词等）,プレビューの作成にtxt2imgタブから読み込んだパラメータ(プロンプトなど)を使う
color_burn,,,,焼きこみカラー
Generate inputframes,,,,入力フレームを生成する
jw,,,,jw
STAND BY...,,,,STAND BY...
"Prompt, will be appended to your t2i prompt)",输入区域提示词(Prompt),,,
Token Merging - Stride X,步幅 X,,,
Localization (requires restart),本地化翻译（需要保存设置并重启）,本地化翻译（需要保存设置并重启）,本地化翻译（需要保存设置并重启）,言語設定 (再起動が必要)
filename(option),文件名（选填）,,,
Generate ImageReward Scores for all images,,,为所有图片计算ImageReward Scores,
| License: Attribution 4.0 International (CC BY 4.0),,,,| License: Attribution 4.0 International (CC BY 4.0)
Order compared to other [after] blocks ? int,,,,他の [after] ブロックと比較した命令 → int
spaceship-nudity,,,,宇宙船演算子(nudity)
Anime-inclined great guide (by FizzleDorf) with lots of examples:,,,,アニメに傾斜のある素晴らしいガイド(FizzleDorfによる) の例がたくさんあります:
Set the preprocessor to [invert] If your image has white background and black lines.,使用有白色背景、黑色线条的图像，请将预处理器设置为“反色”,,将白色背景黑色线条转成黑色背景白色线条请使用[反色]预处理器,
State to restore,需要恢复的内容,,要还原的项目,
Resume & Run from file,,,,中断後にファイルから再開して実行
CLIP Text models. Set to empty to not change.,,,,CLIPテキストモデル。変更しない場合は設定しないでください。
Generate video from inpainted mesh.,,,,Inpaint meshからビデオを生成します。
Dolly,,,,小さな人形
Filter models by path name,下面的模型列表将仅显示此路径下的模型,下面的模型列表将仅显示此路径下的模型,下面的模型列表将仅显示此路径下的模型,パス名でモデルをフィルターする
Add WD14 Tags to Caption,,,,WD14タグをキャプションに追加
? Save & Restart,?保存并重启,,,
Angle,,,,角度
(This is a demanding algorithm),,,,(これは要求の高いアルゴリズムです)
Plot the LoRA weight in all steps,绘制 LoRA 动态权重调度函数图像（常与 “#xxx” 语法联用，详见GitHub自述文件）,,,
Crop Images,剪裁图像,剪裁图像,剪裁图像,画像のクロップ
Select images from the left gallery.,对左侧图库中的图像进行操作：,,,左のギャラリーから画像を選択
ControlNet v1.1.139,扩散控制网络(ControlNet),,,
Search Mode,搜索模型,,,
Copy to Inpaint Upload & img2img ControlNet Inpainting,,,将蒙版复制到局部重绘（上传蒙版）和图生图ControlNet重绘,
Effects (on until refresh),效果（重启后开启）,效果（重启后开启）,效果（重启后开启）,
Multiplier (M) - set to 0 to get model A,倍率(M) - 设为0时输出模型与A完全相同,倍率(M) - 设为0时输出模型与A完全相同,倍率(M) - 设为0时输出模型与A完全相同,Multiplier (M) 0にすると完全にmodel Aとなります (Toolstips参照)
"Configure Hotkeys. For possible values, see https://www.w3.org/TR/uievents-key, or leave empty / set to 'None' to disable. Must be valid JSON.",快捷键设置，留空或设置为“None”可禁用，必须是有效的JSON格式，详情参见https://www.w3.org/TR/uievents-key,,,
Search negative prompt,检索范围是否包含负面提示词,检索范围是否包含负面提示词,检索范围是否包含负面提示词,ネガティブプロンプトを検索
The directory containing classification/regularization images.,包含分类/规范化图像的目录,包含分类/规范化图像的目录,包含分类/规范化图像的目录,
Gradient clip value,,,,勾配クリッピング設定値
Balanced,均衡,,均衡,
Activate Selected Script,激活所选的脚本,激活所选的脚本,激活所选的脚本,
midas,深度信息估算（MiDaS 算法）,MiDaS 深度信息估算（MiDaS depth estimation）,MiDaS 深度信息估算（MiDaS depth estimation）,
Original Weights,原始权重,,,
Inversion steps,反转步数,,,
Fast Encoder Color Fix,启用快速编码颜色修正,,快速编码色彩修复,
Ignore faces larger than specified size,,,如果原尺寸超过此值，则忽略,
Unload Optimizer when generating preview(hypernetwork),,,,プレビューの生成時(hypernetwork) にオプティマイザをアンロードします
running benchmark may take a while. extensive tests may result in gpu out-of-memory conditions.,运行基准测试可能需要一段时间。 扩大基准测试可能会导致显存不足的情况。,,,
"Custom Diffusion is, in short, finetuning-lite with TI, instead of tuning the whole model. Similar speed and memory requirements to TI and supposedly gives better results in less steps.",,,,カスタムディフュージョンは、要するに、モデル全体をチューニングするのではなく、TIを使ったfinetuning-liteなのです。TIと同様のスピードとメモリが必要ですが、より少ないステップでより良い結果を得られるとされています。
"Uscale the image in latent space. Alternative is to produce the full image from latent representation, upscale that, and then move it back to latent space.",放大潜空间中的图像。而另一种方法是，从潜变量表达中直接解码并生成完整的图像，接着放大它，然后再将其编码回潜空间,放大潜空间中的图像。而另一种方法是，从潜变量表达中直接解码并生成完整的图像，接着放大它，然后再将其编码回潜空间,放大潜空间中的图像。而另一种方法是，从潜变量表达中直接解码并生成完整的图像，接着放大它，然后再将其编码回潜空间,
Interpolated Vid FPS,,,,補間されたビデオのFPS
Remove selected,移除已选中图形,移除已选中的,移除已选中的,
"Made by deforum.github.io, port for AUTOMATIC1111's webui maintained by kabachuha",,由 deforum.github.io 制作，AUTOMATIC1111 的 webui 移植版本由 kabachuha 维护,由 deforum.github.io 制作，AUTOMATIC1111 的 webui 移植版本由 kabachuha 维护,
tp__alibaba,,,,tp__alibaba
Swap Negative Prompt,,,,ネガティブプロンプトの入れ替え
Merge!,仅合并,,,
fill,填充,填充,填充,埋める
Visualize,预览分区结果（权重越高，颜色越浅，分区参数具体用法详见插件GitHub页面）,预览,预览,可視化
Effective Block Analyzer,有效层分析工具,,,
ControlNet v1.1.203,扩散控制网络(ControlNet),,,
Beginning index of the substring ? start,,,,部分文字列の開始インデックス ? start
Save and Test Webhook,,,,Webフォークの保存とテスト
ControlNet v1.1.172,扩散控制网络(ControlNet),,,
Check system info for validity,,,检查系统信息的有效性,
Return the filename ? filename,,,,ファイル名を返す ? filename
System data,系统信息,系统信息,系统信息,
(normally you'd do less with less denoising),,,（默认情况下实际采样步数=滑块显示值×重绘幅度）,
IN_B_03,,模型B 输入层03,模型B 输入层03,
batch,,,batch,
Save images to a subdirectory,将图像保存到子目录,将图像保存到子目录,将图像保存到子目录,画像をサブディレクトリに保存する
Get Images,,,,画像を取得
Send to extras,>> 附加功能,>> 附加功能,>>附加功能,その他に転送
IN_A_01,,模型A 输入层01,模型A 输入层01,
Weights,分区权重（每段 子提示词 的权重用逗号分隔）,权重,权重,重み
Save ranking in image's pnginfo,将分级保存到 PNG 文件信息,将分级保存到 PNG 文件信息,将分级保存到 PNG 文件信息,画像のpnginfo にランキングを保存
Use common prompt,使用公共提示词（插入每一段开头，以 ADDCOMM 分隔）,,,共通のプロンプトを使用
Save the foreground masks,,,,前面マスクを保存する
Skip/Reset CLIP position_ids,跳过或重置CLIP position_ids键值,跳过或重置CLIP position_ids键值,跳过或重置CLIP position_ids键值,
Weights setting,权重预设设置,,,
Show Axis,,,,軸を表示
Erode size,侵蚀量,,侵蚀量,浸食サイズ
The Classifier-Free Guidance Scale to use for classifier/regularization images.,用于分类/规范化图像的提示词相关性(CFG Scale - 无分类器指导信息影响尺度(Classifier-Free Guidance Scale)),用于分类/规范化图像的提示词相关性(CFG Scale - 无分类器指导信息影响尺度(Classifier-Free Guidance Scale)),用于分类/规范化图像的提示词相关性(CFG Scale - 无分类器指导信息影响尺度(Classifier-Free Guidance Scale)),
